(32, '==> ', 'http://www.foxsports.com/soccer/story/visa-threatens-to-withdraw-sponsorship-unless-fifa-acts-swiftly-052815', '( doc.', 'http://www.foxsports.com/soccer/story/visa-threatens-to-withdraw-sponsorship-unless-fifa-acts-swiftly-052815', ') & ', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', '( doc.', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', ') ==> ', 99.92930149649668, '%')
(33, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') ==> ', 99.92245887862141, '%')
(34, '==> ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') & ', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', '( doc.', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', ') ==> ', 99.91917463410827, '%')
(35, '==> ', 'http://www.foxsports.com/soccer/story/visa-threatens-to-withdraw-sponsorship-unless-fifa-acts-swiftly-052815', '( doc.', 'http://www.foxsports.com/soccer/story/visa-threatens-to-withdraw-sponsorship-unless-fifa-acts-swiftly-052815', ') & ', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', '( doc.', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', ') ==> ', 99.9169419239047, '%')
(36, '==> ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') & ', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', '( doc.', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', ') ==> ', 99.91649260472568, '%')
(37, '==> ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') & ', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', '( doc.', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', ') ==> ', 99.91544770881197, '%')
(38, '==> ', 'http://www.reuters.com/article/2015/05/28/soccer-fifa-sponsors-idUSL1N0YJ06M20150528?feedType=RSS&feedName=technologySector', '( doc.', 'http://www.reuters.com/article/2015/05/28/soccer-fifa-sponsors-idUSL1N0YJ06M20150528?feedType=RSS&feedName=technologySector', ') & ', 'http://www.huffingtonpost.com/2015/05/28/fifa-visa-sponsorship-_n_7460162.html', '( doc.', 'http://www.huffingtonpost.com/2015/05/28/fifa-visa-sponsorship-_n_7460162.html', ') ==> ', 99.91274069991866, '%')
(39, '==> ', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', '( doc.', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', ') & ', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', '( doc.', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', ') ==> ', 99.9104966948962, '%')
(40, '==> ', 'http://www.foxsports.com/soccer/story/visa-threatens-to-withdraw-sponsorship-unless-fifa-acts-swiftly-052815', '( doc.', 'http://www.foxsports.com/soccer/story/visa-threatens-to-withdraw-sponsorship-unless-fifa-acts-swiftly-052815', ') & ', 'http://www.cbc.ca/news/business/fifa-sponsors-like-scotiabank-coke-and-visa-demand-change-as-scandal-rocks-soccer-world-1.3090586', '( doc.', 'http://www.cbc.ca/news/business/fifa-sponsors-like-scotiabank-coke-and-visa-demand-change-as-scandal-rocks-soccer-world-1.3090586', ') ==> ', 99.9066194021525, '%')
(41, '==> ', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', '( doc.', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', ') & ', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', '( doc.', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', ') ==> ', 99.90095099659139, '%')
