(34, '==> ', 'https://elpais.com/deportes/2018/07/04/actualidad/1530701267_275057.html', '( doc.', 'https://elpais.com/deportes/2018/07/04/actualidad/1530701267_275057.html', ') & ', 'https://elpais.com/cultura/2019/03/05/actualidad/1551791583_829507.html', '( doc.', 'https://elpais.com/cultura/2019/03/05/actualidad/1551791583_829507.html', ') ==> ', 92.73794977901721, '%')
(35, '==> ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', ') & ', 'https://www.elsoldemexico.com.mx/mundo/padres-de-la-casa-del-terror-en-california-permitian-una-ducha-al-ano-a-sus-hijos-565793.html', '( doc.', 'https://www.elsoldemexico.com.mx/mundo/padres-de-la-casa-del-terror-en-california-permitian-una-ducha-al-ano-a-sus-hijos-565793.html', ') ==> ', 92.71109265007334, '%')
(36, '==> ', 'https://www.lavozdelafrontera.com.mx/local/6-pasos-para-desconectarte-de-la-tecnologia-en-vacaciones-3342000.html', '( doc.', 'https://www.lavozdelafrontera.com.mx/local/6-pasos-para-desconectarte-de-la-tecnologia-en-vacaciones-3342000.html', ') & ', 'https://elpais.com/internacional/2008/03/26/del_alfiler_al_elefante/1206518400_120651.html', '( doc.', 'https://elpais.com/internacional/2008/03/26/del_alfiler_al_elefante/1206518400_120651.html', ') ==> ', 92.64987835792962, '%')
(37, '==> ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/mustang-ford-lincoln-corsair-2020-mustang-gt-performance-package-3343203.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/mustang-ford-lincoln-corsair-2020-mustang-gt-performance-package-3343203.html', ') & ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', ') ==> ', 92.63051380842417, '%')
(38, '==> ', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', '( doc.', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', ') & ', 'https://elpais.com/elpais/2015/11/20/icon/1448013257_698725.html', '( doc.', 'https://elpais.com/elpais/2015/11/20/icon/1448013257_698725.html', ') ==> ', 92.59141177038347, '%')
(39, '==> ', 'http://www.lapatria.com/medioambiente/rescate-feliz-para-la-tigrilla-bebe-430938?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rescate-feliz-para-la-tigrilla-bebe-430938?qt-qt_3_lomas=1', ') & ', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', '( doc.', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', ') ==> ', 92.57272263445633, '%')
(40, '==> ', 'https://elpais.com/elpais/2016/01/04/icon/1451927477_593031.html', '( doc.', 'https://elpais.com/elpais/2016/01/04/icon/1451927477_593031.html', ') & ', 'https://elpais.com/elpais/2018/04/23/planeta_futuro/1524502559_810295.html', '( doc.', 'https://elpais.com/elpais/2018/04/23/planeta_futuro/1524502559_810295.html', ') ==> ', 92.56094844648398, '%')
(41, '==> ', 'https://elpais.com/elpais/2017/10/27/planeta_futuro/1509109682_816926.html', '( doc.', 'https://elpais.com/elpais/2017/10/27/planeta_futuro/1509109682_816926.html', ') & ', 'https://elpais.com/cultura/2014/04/21/actualidad/1398105261_052392.html', '( doc.', 'https://elpais.com/cultura/2014/04/21/actualidad/1398105261_052392.html', ') ==> ', 92.5427501655022, '%')
(42, '==> ', 'https://elpais.com/deportes/2018/07/04/actualidad/1530701267_275057.html', '( doc.', 'https://elpais.com/deportes/2018/07/04/actualidad/1530701267_275057.html', ') & ', 'https://elpais.com/elpais/2018/05/21/icon/1526895279_146282.html', '( doc.', 'https://elpais.com/elpais/2018/05/21/icon/1526895279_146282.html', ') ==> ', 92.50224815432821, '%')
(43, '==> ', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', '( doc.', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', ') & ', 'https://elpais.com/elpais/2018/04/23/planeta_futuro/1524502559_810295.html', '( doc.', 'https://elpais.com/elpais/2018/04/23/planeta_futuro/1524502559_810295.html', ') ==> ', 92.46218911778067, '%')
(44, '==> ', 'https://www.elsoldemexico.com.mx/metropoli/policia/hallan-muerta-a-mama-maria-del-rosario-sacmex-de-bruno-nino-abandonado-en-perisur-3342525.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/policia/hallan-muerta-a-mama-maria-del-rosario-sacmex-de-bruno-nino-abandonado-en-perisur-3342525.html', ') & ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', ') ==> ', 92.46178341993775, '%')
(45, '==> ', 'https://elpais.com/elpais/2017/12/19/buenavida/1513679097_326135.html?rel=mas', '( doc.', 'https://elpais.com/elpais/2017/12/19/buenavida/1513679097_326135.html?rel=mas', ') & ', 'https://elpais.com/elpais/2017/04/03/icon/1491236590_227218.html?rel=mas', '( doc.', 'https://elpais.com/elpais/2017/04/03/icon/1491236590_227218.html?rel=mas', ') ==> ', 92.42875919933739, '%')
(46, '==> ', 'https://elpais.com/elpais/2019/04/10/buenavida/1554899497_775283.html', '( doc.', 'https://elpais.com/elpais/2019/04/10/buenavida/1554899497_775283.html', ') & ', 'https://elpais.com/elpais/2017/04/03/icon/1491236590_227218.html?rel=mas', '( doc.', 'https://elpais.com/elpais/2017/04/03/icon/1491236590_227218.html?rel=mas', ') ==> ', 92.39953201989263, '%')
(47, '==> ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') & ', 'https://www.elsoldemexico.com.mx/metropoli/policia/hallan-muerta-a-mama-maria-del-rosario-sacmex-de-bruno-nino-abandonado-en-perisur-3342525.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/policia/hallan-muerta-a-mama-maria-del-rosario-sacmex-de-bruno-nino-abandonado-en-perisur-3342525.html', ') ==> ', 92.35270791081366, '%')
(48, '==> ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') & ', 'https://www.elsoldemexico.com.mx/mundo/padres-de-la-casa-del-terror-en-california-permitian-una-ducha-al-ano-a-sus-hijos-565793.html', '( doc.', 'https://www.elsoldemexico.com.mx/mundo/padres-de-la-casa-del-terror-en-california-permitian-una-ducha-al-ano-a-sus-hijos-565793.html', ') ==> ', 92.2765877962051, '%')
(49, '==> ', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', '( doc.', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', ') & ', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', '( doc.', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', ') ==> ', 92.27419602130603, '%')
(50, '==> ', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', '( doc.', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', ') & ', 'https://elpais.com/elpais/2019/02/07/inenglish/1549556881_820642.html', '( doc.', 'https://elpais.com/elpais/2019/02/07/inenglish/1549556881_820642.html', ') ==> ', 92.2619009363179, '%')
(51, '==> ', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', '( doc.', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', ') & ', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', ') ==> ', 92.24305700927545, '%')
(52, '==> ', 'https://elpais.com/elpais/2018/05/21/icon/1526895279_146282.html', '( doc.', 'https://elpais.com/elpais/2018/05/21/icon/1526895279_146282.html', ') & ', 'https://elpais.com/cultura/2019/03/05/actualidad/1551791583_829507.html', '( doc.', 'https://elpais.com/cultura/2019/03/05/actualidad/1551791583_829507.html', ') ==> ', 92.21138677293492, '%')
(53, '==> ', 'https://elpais.com/elpais/2016/04/27/tentaciones/1461769451_452064.html', '( doc.', 'https://elpais.com/elpais/2016/04/27/tentaciones/1461769451_452064.html', ') & ', 'https://elpais.com/elpais/2017/08/22/buenavida/1503393268_849698.html', '( doc.', 'https://elpais.com/elpais/2017/08/22/buenavida/1503393268_849698.html', ') ==> ', 92.21095020161651, '%')
(54, '==> ', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', '( doc.', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', ') & ', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', ') ==> ', 92.19294472188722, '%')
(55, '==> ', 'http://www.lapatria.com/medioambiente/rescate-feliz-para-la-tigrilla-bebe-430938?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rescate-feliz-para-la-tigrilla-bebe-430938?qt-qt_3_lomas=1', ') & ', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', '( doc.', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', ') ==> ', 92.15615390775127, '%')
(56, '==> ', 'https://www.elsoldemexico.com.mx/republica/justicia/sube-a-14-el-numero-de-muertos-por-masacre-en-minatitlan-3344604.html', '( doc.', 'https://www.elsoldemexico.com.mx/republica/justicia/sube-a-14-el-numero-de-muertos-por-masacre-en-minatitlan-3344604.html', ') & ', 'https://www.elsoldemexico.com.mx/republica/sociedad/fuerzas-federales-buscan-a-responsables-de-masacre-en-minatitlan-3345138.html', '( doc.', 'https://www.elsoldemexico.com.mx/republica/sociedad/fuerzas-federales-buscan-a-responsables-de-masacre-en-minatitlan-3345138.html', ') ==> ', 92.1334607130547, '%')
